"id","NOVANA","Naturlig","Mark","SRI","log_hojde","log_TWI","log_veghojde","dist_aa","log_dist_kant","log_pH","C","N","P","jord","graesning","markareal"
"1",-0.361041076570595,0.209330437182411,-0.144069482313647,0.195417338261142,0.0528417845235741,0.69387715206359,-1.3389151693283,1.53678890246066,0.50212173934653,-0.540971632677749,-0.474661619605517,-0.307663702468185,0.859185645316102,"ager","0","33"
"2",-1.22744581653555,-1.36213317088448,-1.07087497468207,0.305703024730271,0.825427760615395,0.0468584037068243,0.576175862814286,-0.126300066579076,0.818321157449623,-0.0336925805729916,-0.493567876029153,-0.638736599689383,0.977226856515321,"ager","0","33"
"3",0.194625838456798,0.604691445962562,-0.302398043674081,-1.35625606945952,-1.26790266514518,-0.348888692790942,0.716619408024915,0.464038615929506,0.00663321333286715,-0.334317195296601,0.621901252965346,0.464839724381279,-0.230524301064705,"ager","0","33"
"4",-0.455596308828727,0.0502095032357828,-0.521236976534477,0.187847513022959,1.37358623419233,0.807107062019876,1.20613995859802,1.38047908181867,0.733648768457009,-0.488822652157097,1.70901099732439,1.45805841604487,0.0673353324394418,"ager","0","33"
"5",-0.539952246413862,-0.851014302844093,0.212334648958498,-0.780620489322972,0.0528417845235741,0.023435191335627,-1.02957514187404,1.02328332533078,1.1219002597757,0.506002006673478,-0.673177312053691,-0.638736599689383,0.949553024705323,"ager","0","34"
"6",-0.424709118135351,-0.436303101609575,0.151117017720887,0.614983598836861,-0.495316689053358,0.582686077525521,0.576175862814286,1.84757303095985,-0.700449861596316,0.0964942887643701,0.101979201315368,0.13376682716008,0.222116669108889,"ager","0","34"
"7",0.657907645606175,0.534146676613654,0.846566131253895,0.640654973603169,0.0528417845235741,-0.223923841288137,-1.3389151693283,-0.536024797715548,-1.47100216023385,-0.454238180010506,0.130338585950821,0.464839724381279,1.26984531683995,"ager","0","34"
"8",-0.338544147602763,-0.529490268755563,0.482692183684592,-0.293440554244679,0.0528417845235741,0.255439577767476,-1.5105943654337,1.38403208886675,1.43426555051471,0.350885693605259,0.829870073625337,0.795912621602478,0.334159912496176,"ager","0","34"
"9",-0.164690305937128,-0.225012069366633,0.524676649497513,0.0276144546514926,0.0528417845235741,-0.0975163268183844,-0.39961104609031,1.17908260344498,0.694246811839687,1.7718434010856,1.18908894567441,1.34770078363781,2.02941106074714,"ager","0","34"
"10",-0.194567570289772,-0.333983574135014,0.152535352191396,0.112798864387201,-1.26790266514518,0.219100467858998,0.348128703055549,1.17008956712552,1.58819403052821,0.444303627948294,0.555729355482621,0.575197356788345,0.689303470296657,"ager","0","34"
"11",-0.485716349682445,-1.05912304066626,0.360378503943807,-0.312860576727564,-1.26790266514518,0.749804394054118,-0.756717900086381,0.0600955581975529,0.166065645124028,1.82443385741094,0.385573047669901,0.464839724381279,1.205685068733,"ager","0","34"
"12",-0.291980565448781,-0.499893456133505,0.424924554035343,0.981557957764654,1.37358623419233,-0.302246065122056,-0.188865004918906,-0.61563258748662,0.00677595444301288,-0.419797510658134,-0.569192901723695,-0.41802133487525,0.13967130328433,"ager","0","34"
"13",-0.0260251505975848,-0.200488536184716,0.330652903418225,0.125965366671013,0.0528417845235741,0.023437660332882,0.716619408024915,1.68454591285657,0.395479376931841,-0.083045074417874,-0.257239670733708,0.0234091947530142,-0.809920035294117,"ager","0","34"
"14",0.548504770362123,1.02497367803925,1.14650220068813,-1.24888587998346,0.825427760615395,-2.29740603581818,-1.3389151693283,-1.42636404855927,-1.81869969006959,0.11262471069865,-1.92099023601364,-1.96302818857418,-0.643886700022838,"ager","0","35"
"15",-0.982466949162195,-0.777436243095485,-0.815079372210129,0.971990239850947,0.0528417845235741,0.582686077525521,0.716619408024915,-1.24025108863434,-0.332815794167288,-0.540971632677749,0.234322996280817,0.464839724381279,-0.653241932774572,"ager","0","35"
"16",-0.822479624330453,-0.339158064680797,-0.240028692587697,0.249254597842724,0.0528417845235741,-0.487449725059949,-0.291842358661616,-0.554828775682799,-1.35302036854929,-0.300370553332099,-0.200520901462801,0.0234091947530142,1.28864738586602,"ager","0","35"
"17",2.31175950710305,1.47925816556849,1.01781958908381,1.59566692836003,2.14617221028415,-0.778337215015685,1.03446076249262,-1.01500044887728,0.726167256208004,-1.40398750029638,2.63541756208253,2.6719923725226,1.46303033513122,"mvj","1","40"
