plot_id;markareal;afgrode
1;33;0.95
2;33;0.95
3;33;0.96
4;33;0.95
5;38;0.05
6;34_0;0.5
7;34_1;0.05
8;38;0.05
9;38;0.05
10;38;0.05
11;38;0.05
12;34_1;0.05
13;34_0;0.5
14;35;0.8
15;35;0.8
16;35;0.8
17;40;1
18;40;1
19;40;1
20;41;0.75
21;41;0.75
22;41;0.75
23;41;0.75
24;42;0.7
25;42;0.7
26;42;0.7
27;43;1
28;43;1
29;43;1
30;43;1
31;43;1
32;43;1
33;43;1
